Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-22-WB8Y3DUV2,44.25,166.01,32.63,76.19,12.66,49.12,48.31,28.64,196.02,35.36,103.61,88.1,80.57,58.33,90.42,94.32,122.26,78.8,52.82,34.21,27.56,12.81,96.81,33.7,-0.31862024849459836,0.12915230539126582
tRF-22-WD8S746D2,181.66,559.2,187.6,707.52,182.31,294.74,285.85,295.95,424.71,232.39,678.19,268.93,174.56,210.87,509.61,338.43,373.23,388.38,596.06,260.01,141.49,200.66,451.79,222.45,-0.2753093392601682,0.19289313332341998
tRF-22-WD8SS46D2,44.25,166.01,40.78,250.35,25.32,70.18,80.52,95.47,212.36,65.67,160.13,143.74,94.0,71.79,106.85,110.96,135.13,168.86,113.18,75.27,38.59,55.5,182.87,67.41,-0.21520571812359268,0.3125415543686061
tRF-22-WD8YQ84V2,128.09,463.09,118.27,239.47,93.69,168.42,161.04,252.99,441.05,111.14,226.06,129.83,120.85,170.49,328.78,249.66,276.7,230.78,286.71,109.48,86.36,106.74,161.35,94.37,-0.3993489890205121,0.05320249661687633
tRF-22-WE884U1D2,48.91,113.59,40.78,76.19,30.39,98.25,28.18,42.96,212.36,25.26,65.94,64.91,120.85,130.11,49.32,72.12,90.09,39.4,30.18,27.37,49.61,51.23,86.06,40.45,-0.14262015077415835,0.5061747214541472
tRF-22-WE8S68L52,46.58,166.01,40.78,87.08,43.05,126.32,60.39,47.73,98.01,65.67,122.45,51.0,40.28,35.89,123.29,55.48,45.04,106.95,135.81,34.21,51.45,59.77,53.78,40.45,-0.2658821913822155,0.20919997064618656
tRF-22-WE8SP6X52,13.97,192.23,16.31,21.77,12.66,84.21,24.16,23.87,32.67,25.26,84.77,60.28,13.43,8.97,16.44,22.19,25.74,16.89,52.82,27.37,12.86,12.81,21.51,26.96,-0.20484838405037012,0.336949545202445
tRF-22-WE8SPOL52,86.17,401.93,110.11,141.5,91.16,203.51,193.25,157.52,261.36,106.09,386.19,185.47,201.42,125.63,147.95,249.66,212.35,185.75,218.81,143.69,93.71,119.54,268.92,128.08,-0.19433267349276007,0.36286139836290116
tRF-22-WE8SPOX52,493.73,1555.28,285.47,642.21,311.45,652.65,567.67,711.23,849.42,348.58,1309.28,598.14,510.27,327.53,920.59,643.58,637.06,720.47,814.87,431.07,398.73,379.98,903.59,566.24,-0.15409474009076318,0.47219103073827035
tRF-22-WEK6PM852,72.2,218.44,32.63,272.12,50.64,161.41,56.36,90.69,179.69,75.78,178.97,64.91,67.14,71.79,164.39,105.41,186.61,135.09,241.44,136.85,47.77,59.77,139.84,47.19,-0.34180706485019785,0.10209413487428849
tRF-22-WEK879652,6.99,61.16,32.63,87.08,17.72,28.07,12.08,23.87,49.01,25.26,103.61,27.82,40.28,8.97,32.88,27.74,38.61,61.92,52.82,0.0,9.19,8.54,53.78,33.7,-0.2041475033742799,0.3386412932118115
tRF-22-WEKSP1852,367.97,1048.5,342.57,598.67,382.35,477.2,495.2,539.39,1257.8,343.53,1158.57,482.22,537.12,408.29,772.64,582.55,752.89,697.96,799.78,492.65,297.67,345.83,871.31,512.31,-0.2118014584633489,0.32044139079072953
